PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
St. Clair County Intervention Academy,74911,1170 Michigan Rd,Port Huron,MI,48060,"1170 Michigan Rd, Port Huron, MI 48060",42.94148999,-82.48122027,"1170 Michigan Road, Saint Clair County, MI 48060, United States of America",1,1,1
St. Clair County Learning Academy,74901,1520 Michigan Rd,Port Huron,MI,48060,"1520 Michigan Rd, Port Huron, MI 48060",42.95172494,-82.48177247,"1520 Michigan Road, Tappan, MI 48060, United States of America",1,1,1
Star International Academy,82941,24425 Hass St,Dearborn Heights,MI,48127,"24425 Hass St, Dearborn Heights, MI 48127",42.33404361,-83.27681631,"24425 Hass Street, Dearborn Heights, MI 48127, United States of America",1,1,1
Starr Detroit Academy,82736,19360 Harper Ave,Harper Woods,MI,48225,"19360 Harper Ave, Harper Woods, MI 48225",42.42791518,-82.92551411,"19360 Harper Avenue, Harper Woods, MI 48225, United States of America",1,1,1
State Street Academy,9902,1110 State St,Bay City,MI,48706,"1110 State St, Bay City, MI 48706",43.6166707,-83.8945477,"1110 State Street, Bay City, MI 48706, United States of America",1,1,1
Success Mile Academy,50916,27300 Dequindre Rd,Warren,MI,48092,"27300 Dequindre Rd, Warren, MI 48092",42.49283,-83.085072,"27300 Dequindre Road, Warren, MI 48092, United States of America",1,1,1
Success Virtual Learning Centers of Michigan,59900,7188 Avenue B,Vestaburg,MI,48891,"7188 Avenue B, Vestaburg, MI 48891",43.397251,-84.907631,"7188 B Avenue, Richland, MI 48891, United States of America",0,0.567,
Summit Academy North,82938,18601 Middlebelt Rd,Romulus,MI,48174,"18601 Middlebelt Rd, Romulus, MI 48174",42.16905522,-83.32500207,"18601 Middlebelt Road, Huron Charter Township, MI 48174, United States of America",1,1,1
Sunrise Education Center,35901,686 Aulerich Rd,East Tawas,MI,48730,"686 Aulerich Rd, East Tawas, MI 48730",44.29918402,-83.43406512,"686 Aulerich Road, Baldwin Township, MI 48730, United States of America",1,1,1
Taylor Exemplar Academy,82995,26727 Goddard Rd,Taylor,MI,48180,"26727 Goddard Rd, Taylor, MI 48180",42.22522703,-83.29989218,"26727 Goddard Road, Taylor, MI 48180, United States of America",1,1,1
Taylor International Academy,63925,26555 Franklin Road,Southfield,MI,48034,"26555 Franklin Road, Southfield, MI 48034",42.483529,-83.290759,"26555 Franklin Road, Southfield, MI 48033, United States of America",1,1,1
Taylor Preparatory High School,82756,9540 Telegraph Rd,Taylor,MI,48180,"9540 Telegraph Rd, Taylor, MI 48180",42.23791691,-83.26927422,"9540 Telegraph Road, Taylor, MI 48180, United States of America",1,1,1
The Building Trades School,81914,34705 West 12 Mile Rd,Farmington Hills,MI,48331,"34705 West 12 Mile Rd, Farmington Hills, MI 48331",42.49843012,-83.39000661,"34705 West 12 Mile Road, Farmington Hills, MI 48331, United States of America",1,1,1
The Dearborn Academy,82928,19310 Ford Rd,Dearborn,MI,48128,"19310 Ford Rd, Dearborn, MI 48128",42.32893775,-83.23009065,"19310 Ford Road, Dearborn, MI 48128, United States of America",1,1,1
The Greenspire School  ,28904,1026 Red Dr,Traverse City,MI,49684,"1026 Red Dr, Traverse City, MI 49684",44.75239305,-85.64688717,"Greenspire Middle School, 1026 Red Drive, Traverse City, MI 49684, United States of America",1,1,1
The James and Grace Lee Boggs School,82706,7600 Goethe St,Detroit,MI,48214,"7600 Goethe St, Detroit, MI 48214",42.363642,-83.008118,"7600 Goethe Street, Detroit, MI 48214, United States of America",1,1,1
The New Standard Academy,25912,2040 W Carpenter Rd,Flint,MI,48505,"2040 W Carpenter Rd, Flint, MI 48505",43.07749005,-83.71566432,"The New Standard Academy, 2040 West Carpenter Road, Flint, MI 48505, United States of America",1,1,1
The Paris Academy,25917,10751 S Saginaw St,Grand Blanc,MI,48439,"10751 S Saginaw St, Grand Blanc, MI 48439",42.936433,-83.640121,"10751 South Saginaw Street, Grand Blanc, MI 48439, United States of America",1,1,1
Three Lakes Academy,49901,W17540 Main Street,Curtis,MI,49820,"W17540 Main Street, Curtis, MI 49820",46.2063749,-85.7584018,"Three Lakes Academy, W17540 Main Street, Curtis, MI 49820, United States of America",1,1,1
Three Oaks Public School Academy,61904,1212 Kingsley St,Muskegon,MI,49442,"1212 Kingsley St, Muskegon, MI 49442",43.22851939,-86.22295827,"1212 Kingsley Street, Muskegon, MI 49442, United States of America",1,1,1
Threshold Academy,59901,5827 Orleans Rd,Orleans,MI,48865,"5827 Orleans Rd, Orleans, MI 48865",43.07314991,-85.13537798,"5827 Orleans Road, Orleans, MI 48865, United States of America",1,1,1
Timberland Academy,61902,2574 Mclaughlin Ave,Muskegon,MI,49442,"2574 Mclaughlin Ave, Muskegon, MI 49442",43.23043182,-86.18023821,"2574 McLaughlin Avenue, Muskegon Charter Township, MI 49442, United States of America",1,1,1
Tipton Academy,82754,1615 Belton St,Garden City,MI,48135,"1615 Belton St, Garden City, MI 48135",42.32176146,-83.31387686,"1615 Belton Street, Garden City, MI 48135, United States of America",1,1,1
Traverse City College Preparatory Academy,28903,1402 Carlisle Rd,Traverse City,MI,49686,"1402 Carlisle Rd, Traverse City, MI 49686",44.707076,-85.545027,"1402 Carlisle Road, East Bay Township, MI 49696, United States of America",0.441,0.441,0.441
Tri-Valley Academy of Arts and Academics,61901,2140 Valley Street,Muskegon,MI,49444,"2140 Valley Street, Muskegon, MI 49444",43.21322382,-86.22066559,"2140 Valley Street, Muskegon, MI 49444, United States of America",1,1,1
Trillium Academy,82973,15740 Racho Blvd,Taylor,MI,48180,"15740 Racho Blvd, Taylor, MI 48180",42.191339,-83.250243,"15740 Racho, Taylor, MI 48180, United States of America",0.9,1,0.9
Triumph Academy,58902,3000 Vivian Rd,Monroe,MI,48162,"3000 Vivian Rd, Monroe, MI 48162",41.95107498,-83.36536472,"3000 Vivian Road, Frenchtown Charter Township, MI 48162, United States of America",1,1,1
Universal Academy,82950,4833 Ogden St,Detroit,MI,48210,"4833 Ogden St, Detroit, MI 48210",42.328544,-83.145398,"4833 Ogden Street, Detroit, MI 48210, United States of America",1,1,1
Universal Learning Academy,82982,28015 Joy Rd,Westland,MI,48185,"28015 Joy Rd, Westland, MI 48185",42.35497458,-83.31852708,"28015 Joy Road, Westland, MI 48185, United States of America",1,1,1
University Preparatory Academy,82965,600 Antoinette,Detroit,MI,48202,"600 Antoinette, Detroit, MI 48202",42.362604,-83.073615,"600 Antoinette, Detroit, MI 48202, United States of America",1,1,1
University Preparatory Academy (PSAD),82702,485 W Milwaukee Ave,Detroit,MI,48202,"485 W Milwaukee St, Detroit, MI 48202",42.36815664,-83.07487491,"485 West Milwaukee Ave, Detroit, MI 48202, United States of America",1,1,1
University Preparatory Art & Design,82703,485 W Milwaukee Ave,Detroit,MI,48202,"485 W Milwaukee St, Detroit, MI 48202",42.36815664,-83.07487491,"485 West Milwaukee Ave, Detroit, MI 48202, United States of America",1,1,1
University Preparatory Science and Math (PSAD),82701,5100 John R St,Detroit,MI,48202,"5100 John R St, Detroit, MI 48202",42.35903455,-83.06215875,"University Prep Science & Math Middle School, 5100 John R Street, Detroit, MI 48202, United States of America",1,1,1
University Public School,82901,2727 2nd Avenue,Detroit,MI,48201,"2727 2nd Avenue, Detroit, MI 48201",42.34021086,-83.05950478,"2727 2nd Avenue, Detroit, MI 48201, United States of America",1,1,1
University Yes Academy,82724,14717 Curtis St,Detroit,MI,48235,"14717 Curtis St, Detroit, MI 48235",42.42336345,-83.19130167,"14717 Curtis Street, Detroit, MI 48235, United States of America",1,1,1
University YES Academy East,82740,4401 Conner St,Detroit,MI,48215,"4401 Conner St, Detroit, MI 48215",42.38597884,-82.9697781,"4401 Conner Street, Detroit, MI 48215, United States of America",1,1,1
Uplift Michigan Academy,55900,W526 Division St,Stephenson,MI,49887,"W526 Division St, Stephenson, MI 49887",45.417065,-87.608545,"Division Street, Stephenson, MI 49887, United States of America",0.5,1,1
Vanderbilt Charter Academy,70905,301 W 16th St,Holland,MI,49423,"301 W 16th St, Holland, MI 49423",42.783037,-86.120568,"301 West 16th Street, Holland, MI 49423, United States of America",1,1,1
Vanguard Charter Academy,41910,1620 52nd St Sw,Wyoming,MI,49519,"1620 52nd St Sw, Wyoming, MI 49519",42.86973927,-85.70441642,"1620 52nd Street Southwest, Wyoming, MI 49519, United States of America",1,1,1
Victory Academy Charter School,81907,1715 East Forest Ave,Ypsilanti,MI,48198,"1715 East Forest Ave, Ypsilanti, MI 48198",42.25015907,-83.57638226,"1715 East Forest Avenue, Ypsilanti Charter Township, MI 48198, United States of America",1,1,1
Virtual Learning Academy of St. Clair County,74912,499 Range Road,Marysville,MI,48040,"499 Range Road, Marysville, MI 48040",42.917623,-82.501695,"499 Range Road, Marysville, MI 48074, United States of America",1,1,1
Vista Charter Academy,41909,711 32nd St Se,Grand Rapids,MI,49548,"711 32nd St Se, Grand Rapids, MI 49548",42.90569033,-85.64956573,"711 32nd Street Southeast, Wyoming, MI 49548, United States of America",1,1,1
Vista Meadows Academy,82716,20651 West Warren St,Dearborn Heights,MI,48127,"20651 West Warren St, Dearborn Heights, MI 48127",42.3402474,-83.2438701,"Clara B. Ford Academy, 20651 Whitlock Drive, Dearborn Heights, MI 48127, United States of America",1,1,1
Voyageur Academy,82940,4321 Military St,Detroit,MI,48210,"4321 Military St, Detroit, MI 48210",42.3329363,-83.11860733,"4321 Military Street, Detroit, MI 48210, United States of America",1,1,1
Voyageur Academy,82940,4366 Military St,Detroit,MI,48210,"4366 Military St, Detroit, MI 48210",42.3326358,-83.11981406,"4366 Military Street, Detroit, MI 48210, United States of America",1,1,1
W-A-Y Academy,82746,8701 W Vernor Hwy,Detroit,MI,48209,"8701 W Vernor Hwy, Detroit, MI 48209",42.30906,-83.132825,"8701 West Vernor Highway, Detroit, MI 48209, United States of America",1,1,1
Walden Green Montessori,70901,17339 Roosevelt Rd,Spring Lake,MI,49456,"17339 Roosevelt Rd, Spring Lake, MI 49456",43.08840578,-86.21880504,"17339 Roosevelt Road, Ferrysburg, MI 49456, United States of America",1,1,1
Walker Charter Academy,41915,1801 3 Mile Rd Nw,Grand Rapids,MI,49544,"1801 3 Mile Rd Nw, Grand Rapids, MI 49544",43.015109,-85.715154,"1801 3 Mile Road Northwest, Walker, MI 49544, United States of America",1,1,1
Walter French Academy,33905,1900 S. Cedar Street,Lansing,MI,48910,"1900 S. Cedar Street, Lansing, MI 48910",42.711849,-84.547899,"1900 South Cedar Street, Lansing, MI 48910, United States of America",1,1,1
Walton Charter Academy,63913,744 E Walton Blvd,Pontiac,MI,48340,"744 E Walton Blvd, Pontiac, MI 48340",42.67760242,-83.27238488,"744 East Walton Boulevard, Pontiac, MI 48340, United States of America",1,1,1
Warrendale Charter Academy,82970,19400 Sawyer St,Detroit,MI,48228,"19400 Sawyer St, Detroit, MI 48228",42.346945,-83.230832,"19400 Sawyer Street, Detroit, MI 48228, United States of America",1,1,1
Washington-Parks Academy,82719,11685 Appleton,Redford,MI,48239,"11685 Appleton, Redford, MI 48239",42.37263564,-83.27193621,"11685 Appleton, Redford Township, MI 48239, United States of America",1,1,1
Washtenaw Technical Middle College,81903,4800 E Huron River Dr,Ann Arbor,MI,48105,"4800 E Huron River Dr, Ann Arbor, MI 48105",42.2641155,-83.6649436,"4800 East Huron River Drive, Ann Arbor Charter Township, MI 48105, United States of America",1,1,1
Waterford Montessori Academy,63929,4860 Midland Ave,Waterford,MI,48329,"4860 Midland Ave, Waterford, MI 48329",42.69435739,-83.38438835,"4860 Midland Avenue, Waterford Township, MI 48329, United States of America",1,1,1
Wavecrest Career Academy,70907,633 Apple Ave,Holland,MI,49423,"633 Apple Ave, Holland, MI 49423",42.77386967,-86.08992333,"633 Apple Avenue, Holland, MI 49423, United States of America",1,1,1
WAY Academy - Flint,25915,817 E Kearsley St,Flint,MI,48503,"817 E Kearsley St, Flint                                                       , MI 48503",43.02099722,-83.68256398,"817 East Kearsley Street, Flint, MI 48503, United States of America",1,1,1
WAY Michigan,82710,407 E Fort St,Detroit,MI,48226,"407 E Fort St, Detroit, MI 48226",42.3328632,-83.04242857,"407 East Fort Street, Detroit, MI 48226, United States of America",1,1,1
WayPoint Academy,61903,2900 East Apple Ave,Muskegon,MI,49442,"2900 East Apple Ave, Muskegon, MI 49442",43.234312,-86.170884,"2900 East Apple Avenue, Muskegon Charter Township, MI 49442, United States of America",1,1,1
Wellspring Preparatory High School,41923,1031 Page St Ne,Grand Rapids,MI,49505,"1031 Page St Ne, Grand Rapids, MI 49505",42.98661486,-85.64432867,"1031 Page Street Northeast, Grand Rapids, MI 49505, United States of America",1,1,1
West MI Academy for Hospitality Science,41906,1625 Leonard Street Ne,Grand Rapids,MI,49505,"1625 Leonard Street Ne, Grand Rapids, MI 49505",42.984522,-85.627526,"1625 Leonard Street Northeast, Grand Rapids, MI 49505, United States of America",1,1,1
West MI Academy of Arts and Academics,70902,17350 Hazel St,Spring Lake,MI,49456,"17350 Hazel St, Spring Lake, MI 49456",43.086108,-86.212406,"17350 Hazel, Ferrysburg, MI 49456, United States of America",0.9,1,0.9
West MI Academy of Environmental Science,41904,4463 Leonard St Nw,Grand Rapids,MI,49534,"4463 Leonard St Nw, Grand Rapids, MI 49534",42.98694164,-85.77802636,"4463 Leonard Street Northwest, Walker, MI 49534, United States of America",1,1,1
West Michigan Aviation Academy,41924,5363 44th St Se,Grand Rapids,MI,49512,"5363 44th St Se, Grand Rapids, MI 49512",42.88426933,-85.53421643,"5363 44th Street Southeast, Kentwood, MI 49512, United States of America",1,1,1
West Village Academy,82959,3530 Westwood St,Dearborn,MI,48124,"3530 Westwood St, Dearborn, MI 48124",42.28484463,-83.2806019,"3530 Westwood Street, Dearborn, MI 48124, United States of America",1,1,1
Westfield Charter Academy,82766,27201 W Chicago,Redford,MI,48239,"27201 W Chicago, Redford, MI 48239",42.362082,-83.312285,"27201 West Chicago Street, Redford, MI 48239, United States of America",0.7,1,0.7
Weston Preparatory Academy,82943,22930 Chippewa St,Detroit,MI,48219,"22930 Chippewa St, Detroit, MI 48219",42.43871355,-83.26885579,"22930 Chippewa Street, Detroit, MI 48219, United States of America",1,1,1
White Pine Academy,33906,510 Russell St,Leslie,MI,49251,"510 Russell St, Leslie, MI 49251",42.4451047,-84.4281954,"510 Russell Street, Leslie, MI 49251, United States of America",1,1,1
Will Carleton Charter School Academy,30902,2001 W Hallett Rd,Hillsdale,MI,49242,"2001 W Hallett Rd, Hillsdale, MI 49242",41.912706,-84.651112,"2001 West Hallett Road, Hillsdale, MI, United States of America",1,1,1
William C. Abney Academy,41917,1435 Fulton St E,Grand Rapids,MI,49503,"1435 Fulton St E, Grand Rapids, MI 49503",42.96371515,-85.634824,"1435 Fulton Street East, Grand Rapids, MI 49503, United States of America",1,1,1
William C. Abney Academy,41917,256 Alger Street,Grand Rapids,MI,49507,"256 Alger Street, Grand Rapids, MI 49507",42.919797,-85.660094,"256 Alger Street SE, Grand Rapids, MI 49507, United States of America",0.9,1,0.9
Windemere Park Charter Academy,33909,3100 W Saginaw St,Lansing,MI,48917,"3100 W Saginaw St, Lansing, MI 48917",42.741157,-84.592506,"3100 West Saginaw Street, Edgemont Park, MI 48917, United States of America",1,1,1
Windover High School,56901,919 Smith Rd,Midland,MI,48640,"919 Smith Rd, Midland, MI 48640",43.616455,-84.28386138,"919 Smith Road, Midland, MI 48640, United States of America",1,1,1
Wolverine Academy (SDA),82750,2629 Lenox,Detroit,MI,48215,"2629 Lenox, Detroit, MI 48215",42.379422,-82.957626,"2629 Lenox, Detroit, MI 48215, United States of America",1,1,1
Woodland Park Academy,25902,2083 E Grand Blanc Rd,Grand Blanc,MI,48439,"2083 E Grand Blanc Rd, Grand Blanc, MI 48439",42.91524671,-83.66877098,"2083 East Grand Blanc Road, Genesee County, MI 48439, United States of America",1,1,1
Woodland School,28901,7224 Supply Rd,Traverse City,MI,49686,"7224 Supply Rd, Traverse City, MI 49686",44.68979425,-85.42861953,"Woodland School, 7224 Supply Road, Traverse City, MI 49686, United States of America",1,1,1
Woodmont Academy,63919,25175 Code Rd,Southfield,MI,48033,"25175 Code Rd, Southfield, MI 48033",42.47416543,-83.2656244,"25175 Code Road, Southfield, MI 48033, United States of America",1,1,1
Woodward Academy,82913,951 East Lafayette St,Detroit,MI,48207,"951 East Lafayette St, Detroit, MI 48207",42.33587608,-83.03704646,"951 East Lafayette Street, Detroit, MI 48207, United States of America",1,1,1
WSC Academy,81911,855 Jefferson St,Ypsilanti,MI,48197,"855 Jefferson St, Ypsilanti, MI 48197",42.22898416,-83.6208961,"855 Jefferson Street, Ypsilanti, MI 48197, United States of America",1,1,1
Youth Advancement Academy,39906,6750 Chime St,Kalamazoo,MI,49009,"6750 Chime St, Kalamazoo, MI 49009",42.25622434,-85.67923197,"6750 Chime Street, Oshtemo Charter Township, MI 49009, United States of America",1,1,1
Bay City School District,9010,,  ,,,,43.60701,-83.90953,"601 Blend St, Bay City, MI 48706", ,,
Discovery Enrichment Center,9893,, ,,,,42.10991,-86.43969,"465 S McCord St, Benton Harbor, MI 49022", ,,
Godwin Heights Early Childhood Center,4196,, ,,,,42.88806,-85.66299,"28 Bellevue St SE, Wyoming, MI 49548", ,,
Heritage Southwest ISD,14,, ,,,,41.9025,-86.08761,"61682 Dailey Rd, Cassopolis, MI 49031", ,,
Kentwood Public Schools,41160,, ,,,,42.85841,-85.6435,"5820 Eastern Ave SE Grand Rapids, MI 49508", ,,
Louise Peacock School,1981,, ,,,,42.98095,-84.10957,"485 E McArthur St, Corunna, MI 48817", ,,
Monroe ISD,58,, ,,,,41.92378,-83.46742,"1101 S Raisinville Rd, Monroe, MI 48161", ,,
Shelby Early Childhood Center,64080,, ,,,,43.61594,-86.36823,"155 6th StreetShelby, MI 49455", ,,
South Godwin School,41M000085,, ,,,,42.88806,-85.66299,"28 Bellevue St SE, Grand Rapids, MI 49548", ,,
West Branch-Rose City Area Schools,65045,, ,,,,44.30707,-84.12581,"960 S M 33 West Branch, MI 48661", ,,
West Ottawa Public School District,70070,, ,,,,42.83176,-86.11778,"1138 136th Ave Holland, MI 49424", ,,
Wyandotte Public Schools Early Childhood Center,2754,,  ,,,,42.20722,-83.1651,"2609 10th St, Wyandotte, MI 48192", ,,
,,,,,,, ,,, ,,
