PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
Concord Montessori and Community School,5901,5055 Corey Rd,Mancelona,MI,49659,"5055 Corey Rd, Mancelona, MI 49659",44.960193,-84.989241,"5055 Corey Road, Chestonia Township, MI 49659, United States of America",1,1,1
Copper Island Academy,31900,52125 Industrial DR. N.,Calumet,MI,49913,"52125 Industrial DR. N., Calumet, MI 49913",47.247416,-88.454578,"Calumet (Calumet), MI 49913, United States of America",0.25,1,
Cornerstone Health and Technology School,82741,17351 Southfield Road,Detroit,MI,48235,"17351 Southfield Road, Detroit, MI 48235",42.3914334,-83.2176058,"17351 Southfield Road, Detroit, MI, United States of America",1,1,1
Cornerstone Jefferson-Douglass Academy,82760,6861 E Nevada St,Detroit,MI,48234,"6861 E Nevada St, Detroit, MI 48234",42.42664541,-83.03185292,"6861 East Nevada Street, Detroit, MI 48234, United States of America",1,1,1
Countryside Academy,11901,4800 Meadowbrook Rd,Benton Harbor,MI,49022,"4800 Meadowbrook Rd, Benton Harbor, MI 49022",42.07938287,-86.34188488,"4800 Meadowbrook Road, Benton Charter Township, MI 49022, United States of America",1,1,1
Covenant High School Grand Rapids,41900,50 Antoine St Sw,Grand Rapids,MI,49507,"50 Antoine St Sw, Grand Rapids, MI 49507",42.94775729,-85.66902201,"50 Antoine Street Southwest, Grand Rapids, MI 49507, United States of America",1,1,1
Covenant House Academy East,82990,7600 Goethe St,Detroit,MI,48214,"7600 Goethe St, Detroit, MI 48214",42.363642,-83.008118,"7600 Goethe Street, Detroit, MI 48214, United States of America",1,1,1
Covenant House Academy Southwest,82989,1450 25th Street,Detroit,MI,48216,"1450 25th Street, Detroit, MI 48216",42.32056276,-83.0858271,"1450 25th Street, Detroit, MI 48216, United States of America",1,1,1
Covenant Schools Detroit,82991,1450 25th St,Detroit,MI,48216,"1450 25th St, Detroit, MI 48216",42.32056276,-83.0858271,"1450 25th Street, Detroit, MI 48216, United States of America",1,1,1
Creative Learning Academy,26901,540 Lang Rd,Beaverton,MI,48612,"540 Lang Rd, Beaverton, MI 48612",43.8868761,-84.49618664,"540 Lang Road, Beaverton, MI 48612, United States of America",1,1,1
Creative Montessori Academy,82969,12701 Mccann St,Southgate,MI,48195,"12701 Mccann St, Southgate, MI 48195",42.21602067,-83.20974313,"12701 McCann Street, Southgate, MI 48195, United States of America",1,1,1
Creative Technologies Academy,41918,350 Pine St,Cedar Springs,MI,49319,"350 Pine St, Cedar Springs, MI 49319",43.2271468,-85.5597979,"350 West Pine Street Northeast, Cedar Springs, MI, United States of America",0.49,1,0.49
Crescent Academy,63921,17570 W 12 Mile Rd,Southfield,MI,48076,"17570 W 12 Mile Rd, Southfield, MI 48076",42.50261988,-83.21970895,"17570 West 12 Mile Road, Southfield, MI 48076, United States of America",1,1,1
Cross Creek Charter Academy,41916,7701 Kalamazoo Ave Se,Byron Center,MI,49315,"7701 Kalamazoo Ave Se, Byron Center, MI 49315",42.8253069,-85.62601497,"7701 Kalamazoo Avenue Southeast, Caledonia Charter Township, MI 49315, United States of America",1,1,1
Crossroads Charter Academy,54901,215 N State St,Big Rapids,MI,49307,"215 N State St, Big Rapids, MI 49307",43.69996929,-85.48414429,"215 North State Street, Big Rapids, MI 49307, United States of America",1,1,1
Curtis House Academy,73906,6235 Gratiot Road,Saginaw,MI,48603,"6235 Gratiot Road, Saginaw, MI 48603",43.4154755,-84.0381716,"6235 Gratiot Road, Saginaw Charter Township, MI 48638, United States of America",0.9,0.9,0.9
Da Vinci Institute,38901,559 Murphy St,Jackson,MI,49202,"559 Murphy St, Jackson, MI 49202",42.267179,-84.41085,"Jackson (Jackson), MI 49202, United States of America",0.25,1,
Da Vinci Schools,38901,559 Murphy St,Jackson,MI,49202,"559 Murphy St, Jackson, MI 49202",42.267179,-84.41085,"Jackson (Jackson), MI 49202, United States of America",0.25,1,
David Ellis Academy,82947,18977 Schaefer Hwy,Detroit,MI,48235,"18977 Schaefer Hwy, Detroit, MI 48235",42.43000088,-83.18055801,"18977 Schaefer Highway, Detroit, MI 48235, United States of America",1,1,1
David Ellis Academy West,82994,19800 Beech Daly Rd,Redford,MI,48240,"19800 Beech Daly Rd, Redford, MI 48240",42.4349145,-83.29716947,"19800 Beech Daly Road, Redford Township, MI 48240, United States of America",1,1,1
Deer Trail Academy (SDA),63932,810 James Hunt Dr,Oxford,MI,48371,"810 James Hunt Dr, Oxford, MI 48371",42.81515253,-83.23227556,"810 James Hunt Drive, Oxford Charter Township, MI 48371, United States of America",1,1,1
DeTour Arts and Technology Academy,17903,202 Division St,De Tour Village,MI,49725,"202 Division St, De Tour Village, MI 49725",45.99299864,-83.90548375,"202 Division Street, DeTour Village, MI 49725, United States of America",1,1,1
Detroit Academy of Arts and Sciences,82929,2985 E Jefferson Ave,Detroit,MI,48207,"2985 E Jefferson Ave, Detroit, MI 48207",42.33991064,-83.01899082,"2985 East Jefferson Avenue, Detroit, MI 48207, United States of America",1,1,1
Detroit Achievement Academy,82700,7000 W Outer Dr,Detroit,MI,48235,"7000 W Outer Dr, Detroit, MI 48235",42.419747,-83.199628,"7000 West Outer Drive, Detroit, MI 48235, United States of America",1,1,1
Detroit Advantage Academy,82966,9881 Mendota Street,Detroit,MI,48204,"9881 Mendota Street, Detroit, MI 48204",42.3687321,-83.16451824,"9881 Mendota Street, Detroit, MI 48204, United States of America",1,1,1
