District Code,District,Street,City,City,Zip,Address,Latitude,Longitude,Address_formatted,confidence,confidence_city_level,confidence_street_level
33901,Cole Academy -  East,2921 E Coleman Rd,East Lansing,MI,48823,"2921 E Coleman Rd, East Lansing, MI 48823",42.77409355,-84.50549902,"Cole Academy East, 2921 Coleman Road, East Lansing, MI 48823, United States of America",0.9,1,0.9
33902,El-Hajj Malik El-Shabazz Academy,1028 West Barnes Ave,Lansing,MI,48910,"1028 West Barnes Ave, Lansing, MI 48910",42.71487174,-84.56647786,"1028 West Barnes Avenue, Lansing, MI 48910, United States of America",1,1,1
33903,Sankofa Shule Academy,4817 Bristol Street,Lansing,MI,48910,"4817 Bristol Street, Lansing, MI 48910",42.68629542,-84.5743946,"4817 Bristol Street, Lansing, MI 48910, United States of America",1,1,1
33903,Sankofa Shule Academy,4817 Bristol Road,Lansing,MI,48910,"4817 Bristol Road, Lansing, MI 48910",42.684811,-84.574105,"4817 Bristol Street, Lansing, MI 48910, United States of America",0,1,
33904,Mid-Michigan Leadership Academy,730 W Maple St,Lansing,MI,48906,"730 W Maple St, Lansing, MI 48906",42.7469205,-84.5607742,"730 West Maple Street, Lansing, MI 48906, United States of America",1,1,1
33905,Walter French Academy,1900 S. Cedar Street,Lansing,MI,48910,"1900 S. Cedar Street, Lansing, MI 48910",42.711849,-84.547899,"1900 South Cedar Street, Lansing, MI 48910, United States of America",1,1,1
33906,White Pine Academy,510 Russell St,Leslie,MI,49251,"510 Russell St, Leslie, MI 49251",42.4451047,-84.4281954,"510 Russell Street, Leslie, MI 49251, United States of America",1,1,1
33907,Capital Area Academy,5525 South Pennsylvania Ave,Lansing,MI,48911,"5525 South Pennsylvania Ave, Lansing, MI 48911",42.67757428,-84.53807465,"5525 South Pennsylvania Avenue, Lansing, MI 48910, United States of America",1,1,1
33908,New City Academy,2130 West Holmes Rd,Lansing,MI,48910,"2130 West Holmes Rd, Lansing, MI 48910",42.69765598,-84.58100865,"2130 West Holmes Road, Lansing, MI 48910, United States of America",1,1,1
33908,New City Academy,2130 West Holmes Rd # B,Lansing,MI,48910,"2130 West Holmes Rd # B, Lansing, MI 48910",42.698473,-84.581153,"2130 West Holmes Road, Lansing, MI 48910, United States of America",0.9,1,0.9
33909,Windemere Park Charter Academy,3100 W Saginaw St,Lansing,MI,48917,"3100 W Saginaw St, Lansing, MI 48917",42.741157,-84.592506,"3100 West Saginaw Street, Edgemont Park, MI 48917, United States of America",1,1,1
33910,Holly Park Academy,3300 Express Ct,Lansing,MI,48910,"3300 Express Ct, Lansing, MI 48910",42.6984513,-84.5742498,"Express Court, Lansing, MI 49811, United States of America",0.5,1,1
33911,Michigan Connections Academy,3950 Heritage Ave # 100,Okemos,MI,48864,"3950 Heritage Ave # 100, Okemos, MI 48864",42.69616246,-84.43668012,"3950 Heritage Avenue, Meridian Charter Township, MI 48864, United States of America",1,1,1
33911,Michigan Connections Academy,2140 University Park Dr # 270,Okemos,MI,48864,"2140 University Park Dr # 270, Okemos, MI 48864",42.67994754,-84.4280588,"2140 University Park Drive, Alaiedon Township, MI 48864, United States of America",1,1,1
